Date,Price,Open,High,Low
4-Mar-83,192.72,192.72,192.72,192.72
7-Mar-83,192.69,192.69,192.69,192.69
8-Mar-83,194.87,194.87,194.87,194.87
9-Mar-83,193.58,193.58,193.58,193.58
10-Mar-83,193.4,193.4,193.4,193.4
11-Mar-83,194.37,194.37,194.37,194.37
14-Mar-83,193.48,193.48,193.48,193.48
15-Mar-83,193.73,193.73,193.73,193.73
16-Mar-83,194.05,194.05,194.05,194.05
17-Mar-83,195.44,195.44,195.44,195.44
18-Mar-83,195.99,195.99,195.99,195.99
21-Mar-83,196.71,196.71,196.71,196.71
22-Mar-83,195.49,195.49,195.49,195.49
23-Mar-83,194.48,194.48,194.48,194.48
24-Mar-83,193.29,193.29,193.29,193.29
25-Mar-83,193.15,193.15,193.15,193.15
28-Mar-83,194.95,194.95,194.95,194.95
29-Mar-83,195.03,195.03,195.03,195.03
30-Mar-83,194.81,194.81,194.81,194.81
31-Mar-83,193.61,193.61,193.61,193.61
4-Apr-83,193.02,193.02,193.02,193.02
5-Apr-83,192.19,192.19,192.19,192.19
6-Apr-83,191.96,191.96,191.96,191.96
7-Apr-83,192.43,192.43,192.43,192.43
8-Apr-83,193.68,193.68,193.68,193.68
11-Apr-83,192.93,192.93,192.93,192.93
12-Apr-83,193.2,193.2,193.2,193.2
13-Apr-83,193.18,193.18,193.18,193.18
14-Apr-83,193.13,193.13,193.13,193.13
15-Apr-83,192.65,192.65,192.65,192.65
18-Apr-83,192.22,192.22,192.22,192.22
19-Apr-83,191.49,191.49,191.49,191.49
20-Apr-83,192.25,192.25,192.25,192.25
21-Apr-83,192.25,192.25,192.25,192.25
22-Apr-83,192.98,192.98,192.98,192.98
25-Apr-83,192.68,192.68,192.68,192.68
26-Apr-83,193.23,193.23,193.23,193.23
27-Apr-83,192.4,192.4,192.4,192.4
28-Apr-83,194.07,194.07,194.07,194.07
29-Apr-83,194.29,194.29,194.29,194.29
2-May-83,194.08,194.08,194.08,194.08
3-May-83,193.79,193.79,193.79,193.79
4-May-83,192.71,192.71,192.71,192.71
5-May-83,192.06,192.06,192.06,192.06
6-May-83,191.23,191.23,191.23,191.23
9-May-83,189.64,189.64,189.64,189.64
10-May-83,189.47,189.47,189.47,189.47
11-May-83,188.33,188.33,188.33,188.33
12-May-83,188.7,188.7,188.7,188.7
13-May-83,188.44,188.44,188.44,188.44
16-May-83,189.81,189.81,189.81,189.81
17-May-83,189.55,189.55,189.55,189.55
18-May-83,189.01,189.01,189.01,189.01
19-May-83,190.06,190.06,190.06,190.06
20-May-83,189.74,189.74,189.74,189.74
23-May-83,190.65,190.65,190.65,190.65
24-May-83,191.51,191.51,191.51,191.51
25-May-83,191.67,191.67,191.67,191.67
26-May-83,191.8,191.8,191.8,191.8
27-May-83,193.33,193.33,193.33,193.33
31-May-83,194.14,194.14,194.14,194.14
1-Jun-83,194.79,194.79,194.79,194.79
2-Jun-83,193.79,193.79,193.79,193.79
3-Jun-83,193.9,193.9,193.9,193.9
6-Jun-83,194.78,194.78,194.78,194.78
7-Jun-83,194.5,194.5,194.5,194.5
8-Jun-83,195.29,195.29,195.29,195.29
9-Jun-83,196.58,196.58,196.58,196.58
10-Jun-83,196.22,196.22,196.22,196.22
13-Jun-83,196.35,196.35,196.35,196.35
14-Jun-83,196.53,196.53,196.53,196.53
15-Jun-83,195.87,195.87,195.87,195.87
16-Jun-83,194.73,194.73,194.73,194.73
17-Jun-83,194.67,194.67,194.67,194.67
20-Jun-83,194.29,194.29,194.29,194.29
21-Jun-83,194.86,194.86,194.86,194.86
22-Jun-83,193.32,193.32,193.32,193.32
23-Jun-83,192.73,192.73,192.73,192.73
24-Jun-83,192.49,192.49,192.49,192.49
27-Jun-83,194.52,194.52,194.52,194.52
28-Jun-83,194.18,194.18,194.18,194.18
29-Jun-83,194.75,194.75,194.75,194.75
30-Jun-83,194.87,194.87,194.87,194.87
1-Jul-83,194.86,194.86,194.86,194.86
5-Jul-83,195.51,195.51,195.51,195.51
6-Jul-83,194.52,194.52,194.52,194.52
7-Jul-83,195.49,195.49,195.49,195.49
8-Jul-83,195.96,195.96,195.96,195.96
11-Jul-83,196.16,196.16,196.16,196.16
12-Jul-83,195.3,195.3,195.3,195.3
13-Jul-83,194.48,194.48,194.48,194.48
14-Jul-83,194.73,194.73,194.73,194.73
15-Jul-83,195.44,195.44,195.44,195.44
18-Jul-83,195.28,195.28,195.28,195.28
19-Jul-83,195.25,195.25,195.25,195.25
20-Jul-83,194.08,194.08,194.08,194.08
21-Jul-83,194.21,194.21,194.21,194.21
22-Jul-83,194.59,194.59,194.59,194.59
25-Jul-83,194.9,194.9,194.9,194.9
26-Jul-83,195.12,195.12,195.12,195.12
27-Jul-83,195.27,195.27,195.27,195.27
28-Jul-83,195.4,195.4,195.4,195.4
29-Jul-83,195.86,195.86,195.86,195.86
1-Aug-83,197.37,197.37,197.37,197.37
2-Aug-83,196.75,196.75,196.75,196.75
3-Aug-83,197.17,197.17,197.17,197.17
4-Aug-83,197.39,197.39,197.39,197.39
5-Aug-83,197.25,197.25,197.25,197.25
8-Aug-83,197.52,197.52,197.52,197.52
9-Aug-83,197.46,197.46,197.46,197.46
10-Aug-83,198.67,198.67,198.67,198.67
11-Aug-83,199.02,199.02,199.02,199.02
12-Aug-83,199.63,199.63,199.63,199.63
15-Aug-83,199.74,199.74,199.74,199.74
16-Aug-83,197.1,197.1,197.1,197.1
17-Aug-83,197.5,197.5,197.5,197.5
18-Aug-83,196.92,196.92,196.92,196.92
19-Aug-83,197.68,197.68,197.68,197.68
22-Aug-83,197.22,197.22,197.22,197.22
23-Aug-83,197.63,197.63,197.63,197.63
24-Aug-83,197.45,197.45,197.45,197.45
25-Aug-83,197.75,197.75,197.75,197.75
26-Aug-83,199.58,199.58,199.58,199.58
29-Aug-83,199.86,199.86,199.86,199.86
30-Aug-83,199.8,199.8,199.8,199.8
31-Aug-83,199.67,199.67,199.67,199.67
1-Sep-83,199.8,199.8,199.8,199.8
2-Sep-83,200.13,200.13,200.13,200.13
6-Sep-83,199.7,199.7,199.7,199.7
7-Sep-83,199.41,199.41,199.41,199.41
8-Sep-83,198.68,198.68,198.68,198.68
9-Sep-83,198.5,198.5,198.5,198.5
12-Sep-83,197.71,197.71,197.71,197.71
13-Sep-83,198.12,198.12,198.12,198.12
14-Sep-83,198.77,198.77,198.77,198.77
15-Sep-83,198.21,198.21,198.21,198.21
16-Sep-83,197.35,197.35,197.35,197.35
19-Sep-83,196.06,196.06,196.06,196.06
20-Sep-83,196.66,196.66,196.66,196.66
21-Sep-83,196.52,196.52,196.52,196.52
22-Sep-83,196.76,196.76,196.76,196.76
23-Sep-83,194.45,194.45,194.45,194.45
26-Sep-83,193.11,193.11,193.11,193.11
27-Sep-83,192.89,192.89,192.89,192.89
28-Sep-83,192.07,192.07,192.07,192.07
29-Sep-83,192.03,192.03,192.03,192.03
30-Sep-83,191.18,191.18,191.18,191.18
3-Oct-83,189.93,189.93,189.93,189.93
4-Oct-83,189.86,189.86,189.86,189.86
5-Oct-83,189.1,189.1,189.1,189.1
6-Oct-83,188.83,188.83,188.83,188.83
7-Oct-83,187.65,187.65,187.65,187.65
11-Oct-83,188.3,188.3,188.3,188.3
12-Oct-83,189.96,189.96,189.96,189.96
13-Oct-83,189.1,189.1,189.1,189.1
14-Oct-83,188.77,188.77,188.77,188.77
17-Oct-83,189.03,189.03,189.03,189.03
18-Oct-83,188.61,188.61,188.61,188.61
19-Oct-83,188.9,188.9,188.9,188.9
20-Oct-83,188.74,188.74,188.74,188.74
21-Oct-83,188.69,188.69,188.69,188.69
24-Oct-83,189.39,189.39,189.39,189.39
25-Oct-83,188.55,188.55,188.55,188.55
26-Oct-83,188.94,188.94,188.94,188.94
27-Oct-83,188.67,188.67,188.67,188.67
28-Oct-83,188.75,188.75,188.75,188.75
31-Oct-83,189.83,189.83,189.83,189.83
1-Nov-83,190.31,190.31,190.31,190.31
2-Nov-83,190.1,190.1,190.1,190.1
3-Nov-83,189.98,189.98,189.98,189.98
4-Nov-83,191.66,191.66,191.66,191.66
7-Nov-83,191.78,191.78,191.78,191.78
9-Nov-83,190.48,190.48,190.48,190.48
10-Nov-83,189.83,189.83,189.83,189.83
14-Nov-83,189.84,189.84,189.84,189.84
15-Nov-83,189.56,189.56,189.56,189.56
16-Nov-83,190.3,190.3,190.3,190.3
17-Nov-83,190.86,190.86,190.86,190.86
18-Nov-83,190.48,190.48,190.48,190.48
21-Nov-83,189.9,189.9,189.9,189.9
22-Nov-83,189.57,189.57,189.57,189.57
23-Nov-83,189.86,189.86,189.86,189.86
25-Nov-83,189.53,189.53,189.53,189.53
28-Nov-83,189.31,189.31,189.31,189.31
29-Nov-83,189.05,189.05,189.05,189.05
30-Nov-83,187.57,187.57,187.57,187.57
1-Dec-83,187.47,187.47,187.47,187.47
2-Dec-83,187.51,187.51,187.51,187.51
5-Dec-83,188.76,188.76,188.76,188.76
6-Dec-83,188.24,188.24,188.24,188.24
7-Dec-83,188.02,188.02,188.02,188.02
8-Dec-83,187.94,187.94,187.94,187.94
9-Dec-83,189.59,189.59,189.59,189.59
12-Dec-83,189.56,189.56,189.56,189.56
13-Dec-83,188.84,188.84,188.84,188.84
14-Dec-83,187.89,187.89,187.89,187.89
15-Dec-83,187.98,187.98,187.98,187.98
16-Dec-83,188.18,188.18,188.18,188.18
19-Dec-83,188.81,188.81,188.81,188.81
20-Dec-83,187.97,187.97,187.97,187.97
21-Dec-83,187.85,187.85,187.85,187.85
22-Dec-83,187.54,187.54,187.54,187.54
23-Dec-83,187.67,187.67,187.67,187.67
27-Dec-83,187.73,187.73,187.73,187.73
28-Dec-83,187.25,187.25,187.25,187.25
29-Dec-83,186.46,186.46,186.46,186.46
30-Dec-83,186.13,186.13,186.13,186.13
3-Jan-84,186.49,186.49,186.49,186.49
4-Jan-84,186.84,186.84,186.84,186.84
5-Jan-84,186.17,186.17,186.17,186.17
6-Jan-84,186.15,186.15,186.15,186.15
9-Jan-84,186.25,186.25,186.25,186.25
10-Jan-84,186.44,186.44,186.44,186.44
11-Jan-84,187.17,187.17,187.17,187.17
12-Jan-84,187.86,187.86,187.86,187.86
13-Jan-84,187.07,187.07,187.07,187.07
16-Jan-84,187.37,187.37,187.37,187.37
17-Jan-84,187.66,187.66,187.66,187.66
18-Jan-84,187.05,187.05,187.05,187.05
19-Jan-84,187.14,187.14,187.14,187.14
20-Jan-84,187.97,187.97,187.97,187.97
23-Jan-84,187.66,187.66,187.66,187.66
24-Jan-84,187.81,187.81,187.81,187.81
25-Jan-84,187.63,187.63,187.63,187.63
26-Jan-84,187.74,187.74,187.74,187.74
27-Jan-84,187.64,187.64,187.64,187.64
30-Jan-84,187.82,187.82,187.82,187.82
31-Jan-84,187.79,187.79,187.79,187.79
1-Feb-84,187.76,187.76,187.76,187.76
2-Feb-84,187.43,187.43,187.43,187.43
3-Feb-84,186.65,186.65,186.65,186.65
6-Feb-84,187.13,187.13,187.13,187.13
7-Feb-84,187.9,187.9,187.9,187.9
8-Feb-84,187.83,187.83,187.83,187.83
9-Feb-84,187.64,187.64,187.64,187.64
10-Feb-84,188.19,188.19,188.19,188.19
14-Feb-84,187.47,187.47,187.47,187.47
15-Feb-84,187.26,187.26,187.26,187.26
16-Feb-84,186.75,186.75,186.75,186.75
17-Feb-84,186.87,186.87,186.87,186.87
21-Feb-84,187.26,187.26,187.26,187.26
22-Feb-84,186.82,186.82,186.82,186.82
23-Feb-84,186.92,186.92,186.92,186.92
24-Feb-84,186.48,186.48,186.48,186.48
27-Feb-84,186.07,186.07,186.07,186.07
28-Feb-84,186.45,186.45,186.45,186.45
29-Feb-84,186.41,186.41,186.41,186.41
1-Mar-84,186.46,186.46,186.46,186.46
2-Mar-84,182.35,182.35,182.35,182.35
5-Mar-84,178.3,178.3,178.3,178.3
6-Mar-84,177.8,177.8,177.8,177.8
7-Mar-84,177.1,177.1,177.1,177.1
8-Mar-84,177.45,177.45,177.45,177.45
9-Mar-84,176.79,176.79,176.79,176.79
12-Mar-84,175.82,175.82,175.82,175.82
13-Mar-84,176.01,176.01,176.01,176.01
14-Mar-84,175.43,175.43,175.43,175.43
15-Mar-84,175.92,175.92,175.92,175.92
16-Mar-84,177.83,177.83,177.83,177.83
19-Mar-84,176.88,176.88,176.88,176.88
20-Mar-84,176.97,176.97,176.97,176.97
21-Mar-84,177.6,177.6,177.6,177.6
22-Mar-84,177.66,177.66,177.66,177.66
23-Mar-84,176.6,176.6,176.6,176.6
26-Mar-84,175.83,175.83,175.83,175.83
27-Mar-84,175.42,175.42,175.42,175.42
28-Mar-84,175.59,175.59,175.59,175.59
29-Mar-84,175.1,175.1,175.1,175.1
30-Mar-84,175.87,175.87,175.87,175.87
2-Apr-84,176.22,176.22,176.22,176.22
3-Apr-84,176.11,176.11,176.11,176.11
4-Apr-84,176.02,176.02,176.02,176.02
5-Apr-84,176.37,176.37,176.37,176.37
6-Apr-84,176.13,176.13,176.13,176.13
9-Apr-84,176.16,176.16,176.16,176.16
10-Apr-84,176.08,176.08,176.08,176.08
11-Apr-84,174.23,174.23,174.23,174.23
12-Apr-84,175.23,175.23,175.23,175.23
13-Apr-84,175.68,175.68,175.68,175.68
16-Apr-84,176,176,176,176
17-Apr-84,175.78,175.78,175.78,175.78
18-Apr-84,175.51,175.51,175.51,175.51
19-Apr-84,175.63,175.63,175.63,175.63
20-Apr-84,175.69,175.69,175.69,175.69
23-Apr-84,175.37,175.37,175.37,175.37
24-Apr-84,176.24,176.24,176.24,176.24
25-Apr-84,176.31,176.31,176.31,176.31
26-Apr-84,176.47,176.47,176.47,176.47
27-Apr-84,176.8,176.8,176.8,176.8
30-Apr-84,176.67,176.67,176.67,176.67
1-May-84,175.84,175.84,175.84,175.84
2-May-84,175.37,175.37,175.37,175.37
3-May-84,175.62,175.62,175.62,175.62
